state,name,under_age_18_poverty,under_age_5_poverty,age_5_to_17_poverty,age_18_to_64_poverty,age_18_to_34_poverty,age_35_to_64_poverty,age_60_and_older_poverty,age_65_and_older_poverty,male,female,white_alone,black_or_african_american,american_indian_and_alaska_native ,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more_races,hispanic_or_latino_origin,white_alone_not_hispanic_or_latino,pop_25_years_over,less_than_hs_graduate,hs_graduate,some_college_or_associate,bachelor_or_higher
Minnesota,Dodge County,0.050,0.089,0.037,0.053,0.074,0.043,0.048,0.046,0.047,0.055,0.044,0.284,0.387,0.094,0.000,0.204,0.118,0.149,0.043,0.046,0.151,0.074,0.028,0.014
Minnesota,Douglas County,0.082,0.080,0.083,0.073,0.115,0.053,0.070,0.077,0.070,0.082,0.074,0.153,0.165,0.832,-,0.053,0.014,0.205,0.072,0.060,0.159,0.103,0.048,0.014
Minnesota,Faribault County,0.168,0.168,0.169,0.113,0.145,0.099,0.081,0.066,0.099,0.131,0.113,0.000,0.040,0.137,-,0.223,0.175,0.356,0.095,0.095,0.210,0.104,0.096,0.033
Minnesota,Fillmore County,0.175,0.220,0.159,0.091,0.128,0.074,0.064,0.069,0.101,0.114,0.103,0.262,1.000,0.057,1.000,0.609,0.296,0.291,0.101,0.084,0.295,0.083,0.071,0.029
Minnesota,Freeborn County,0.156,0.126,0.166,0.105,0.142,0.088,0.076,0.077,0.092,0.128,0.102,0.215,0.577,0.302,-,0.048,0.162,0.175,0.094,0.094,0.173,0.119,0.070,0.044
Minnesota,Goodhue County,0.133,0.132,0.134,0.085,0.095,0.081,0.069,0.070,0.086,0.100,0.081,0.486,0.252,0.094,-,0.009,0.416,0.069,0.081,0.076,0.125,0.118,0.067,0.029
Minnesota,Grant County,0.131,0.144,0.127,0.093,0.133,0.076,0.073,0.071,0.066,0.128,0.097,0.294,0.000,0.000,0.000,0.000,0.063,0.316,0.093,0.077,0.116,0.114,0.062,0.028
Minnesota,Hennepin County,0.133,0.131,0.133,0.101,0.137,0.078,0.079,0.075,0.098,0.111,0.063,0.292,0.306,0.096,0.090,0.205,0.141,0.177,0.059,0.080,0.285,0.128,0.090,0.032
Minnesota,Houston County,0.101,0.173,0.078,0.063,0.077,0.058,0.089,0.100,0.055,0.104,0.075,0.333,0.200,0.000,0.000,0.027,0.122,0.696,0.068,0.072,0.146,0.113,0.060,0.021
Minnesota,Hubbard County,0.170,0.180,0.166,0.122,0.207,0.090,0.072,0.066,0.102,0.134,0.102,0.408,0.331,0.121,-,0.891,0.164,0.542,0.102,0.093,0.243,0.104,0.104,0.031
Minnesota,Isanti County,0.088,0.086,0.088,0.068,0.070,0.067,0.078,0.071,0.062,0.085,0.072,0.318,0.250,0.019,-,0.015,0.079,0.210,0.069,0.069,0.197,0.076,0.056,0.036
Minnesota,Itasca County,0.159,0.149,0.162,0.121,0.188,0.094,0.089,0.089,0.111,0.133,0.108,0.229,0.349,0.257,0.000,0.014,0.317,0.175,0.108,0.102,0.227,0.111,0.104,0.058
Minnesota,Jackson County,0.099,0.086,0.104,0.087,0.124,0.072,0.034,0.034,0.084,0.073,0.072,0.029,-,0.284,-,0.377,0.000,0.299,0.067,0.059,0.191,0.082,0.032,0.028
Minnesota,Kanabec County,0.117,0.160,0.104,0.096,0.145,0.076,0.089,0.092,0.101,0.099,0.095,0.303,0.295,0.163,1.000,0.773,0.185,0.510,0.090,0.088,0.147,0.107,0.077,0.029
Minnesota,Kandiyohi County,0.155,0.151,0.157,0.101,0.143,0.078,0.054,0.048,0.098,0.112,0.070,0.587,0.507,0.081,-,0.258,0.128,0.191,0.059,0.077,0.248,0.066,0.068,0.026
Minnesota,Kittson County,0.127,0.198,0.102,0.080,0.134,0.059,0.152,0.180,0.077,0.149,0.108,0.320,0.143,0.345,-,0.000,0.143,0.000,0.109,0.098,0.307,0.096,0.063,0.108
Minnesota,Koochiching County,0.192,0.152,0.203,0.144,0.169,0.135,0.091,0.073,0.118,0.154,0.119,0.921,0.430,0.442,-,0.000,0.438,0.052,0.119,0.117,0.293,0.134,0.100,0.037
Minnesota,Lac qui Parle County,0.071,0.076,0.070,0.081,0.086,0.079,0.103,0.097,0.062,0.105,0.076,0.109,0.000,0.268,-,0.486,0.234,0.338,0.075,0.084,0.264,0.101,0.060,0.037
Minnesota,Lake County,0.121,0.049,0.146,0.093,0.047,0.109,0.067,0.051,0.086,0.088,0.087,0.432,0.098,0.000,0.000,0.000,0.000,0.033,0.088,0.084,0.172,0.110,0.091,0.032
Minnesota,Lake of the Woods County,0.204,0.350,0.153,0.083,0.115,0.073,0.075,0.077,0.077,0.142,0.093,1.000,0.878,0.000,-,-,0.163,1.000,0.093,0.074,0.141,0.082,0.080,0.015
Minnesota,Le Sueur County,0.128,0.176,0.111,0.073,0.101,0.061,0.069,0.069,0.073,0.098,0.076,0.656,0.244,0.017,0.000,0.427,0.025,0.388,0.060,0.068,0.219,0.083,0.050,0.035
Minnesota,Lincoln County,0.127,0.128,0.127,0.097,0.094,0.099,0.112,0.116,0.091,0.127,0.105,0.000,0.125,0.000,-,0.000,0.544,0.144,0.103,0.101,0.243,0.151,0.061,0.024
Minnesota,Lyon County,0.184,0.210,0.173,0.132,0.208,0.090,0.089,0.104,0.121,0.162,0.106,0.270,0.320,0.163,0.500,0.719,0.227,0.605,0.097,0.099,0.268,0.117,0.088,0.042
Minnesota,McLeod County,0.112,0.151,0.100,0.082,0.130,0.057,0.064,0.062,0.069,0.101,0.073,0.157,0.363,0.216,-,0.551,0.014,0.297,0.068,0.070,0.178,0.077,0.060,0.034
Minnesota,Mahnomen County,0.338,0.391,0.319,0.212,0.277,0.177,0.113,0.109,0.217,0.249,0.116,0.138,0.359,0.000,0.000,0.500,0.278,0.226,0.120,0.170,0.361,0.167,0.137,0.088
