state,name,under_age_18_poverty,under_age_5_poverty,age_5_to_17_poverty,age_18_to_64_poverty,age_18_to_34_poverty,age_35_to_64_poverty,age_60_and_older_poverty,age_65_and_older_poverty,male,female,white_alone,black_or_african_american,american_indian_and_alaska_native ,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more_races,hispanic_or_latino_origin,white_alone_not_hispanic_or_latino,pop_25_years_over,less_than_hs_graduate,hs_graduate,some_college_or_associate,bachelor_or_higher
Minnesota,Sibley County,0.105,0.134,0.096,0.072,0.098,0.060,0.064,0.070,0.060,0.100,0.073,0.234,0.000,0.505,0.500,0.126,0.120,0.245,0.058,0.071,0.174,0.077,0.049,0.045
Minnesota,Stearns County,0.168,0.191,0.159,0.129,0.199,0.080,0.069,0.068,0.118,0.140,0.094,0.517,0.143,0.234,0.818,0.259,0.236,0.226,0.091,0.086,0.256,0.093,0.073,0.045
Minnesota,Steele County,0.115,0.149,0.104,0.076,0.120,0.053,0.087,0.098,0.079,0.100,0.070,0.439,0.845,0.002,0.000,0.222,0.146,0.207,0.064,0.076,0.233,0.107,0.060,0.016
Minnesota,Stevens County,0.061,0.045,0.067,0.165,0.274,0.062,0.062,0.055,0.100,0.149,0.104,0.209,0.769,0.288,1.000,0.119,0.433,0.111,0.106,0.057,0.243,0.085,0.034,0.018
Minnesota,Swift County,0.182,0.199,0.176,0.115,0.184,0.082,0.094,0.092,0.097,0.154,0.104,0.609,-,0.000,0.965,0.326,0.291,0.425,0.091,0.109,0.324,0.116,0.096,0.021
Minnesota,Todd County,0.168,0.166,0.168,0.104,0.116,0.099,0.104,0.101,0.110,0.128,0.116,0.274,0.000,0.038,0.000,0.125,0.295,0.101,0.118,0.101,0.202,0.109,0.078,0.048
Minnesota,Traverse County,0.117,0.119,0.116,0.114,0.197,0.078,0.051,0.046,0.087,0.111,0.074,0.462,0.244,0.000,-,0.028,0.671,0.436,0.060,0.090,0.184,0.153,0.050,0.028
Minnesota,Wabasha County,0.085,0.075,0.089,0.082,0.127,0.062,0.057,0.057,0.079,0.076,0.069,0.365,0.278,0.207,-,0.603,0.082,0.486,0.063,0.065,0.179,0.085,0.053,0.025
Minnesota,Wadena County,0.163,0.219,0.141,0.140,0.136,0.142,0.136,0.128,0.142,0.145,0.136,0.853,0.271,0.053,-,0.048,0.267,0.049,0.137,0.138,0.341,0.165,0.102,0.045
Minnesota,Waseca County,0.100,0.098,0.100,0.101,0.174,0.065,0.078,0.079,0.079,0.115,0.079,0.604,0.021,0.171,0.000,0.496,0.218,0.287,0.075,0.084,0.114,0.118,0.072,0.039
Minnesota,Washington County,0.051,0.057,0.050,0.039,0.056,0.031,0.043,0.045,0.036,0.050,0.037,0.125,0.195,0.043,0.052,0.101,0.058,0.095,0.036,0.037,0.117,0.063,0.039,0.017
Minnesota,Watonwan County,0.208,0.216,0.204,0.116,0.162,0.091,0.086,0.091,0.111,0.157,0.119,0.765,0.000,0.031,-,0.195,0.258,0.212,0.100,0.104,0.158,0.121,0.092,0.027
Minnesota,Wilkin County,0.160,0.078,0.188,0.076,0.138,0.049,0.072,0.059,0.064,0.122,0.089,0.000,0.000,0.000,-,0.750,0.457,0.333,0.089,0.062,0.139,0.058,0.070,0.035
Minnesota,Winona County,0.101,0.137,0.088,0.153,0.271,0.064,0.064,0.069,0.120,0.138,0.126,0.172,0.374,0.142,-,0.320,0.177,0.160,0.126,0.082,0.197,0.086,0.080,0.056
Minnesota,Wright County,0.043,0.034,0.045,0.043,0.055,0.037,0.061,0.070,0.039,0.053,0.046,0.072,0.071,0.019,0.000,0.025,0.070,0.050,0.045,0.045,0.083,0.071,0.043,0.016
Minnesota,Yellow Medicine County,0.123,0.154,0.112,0.120,0.172,0.096,0.094,0.103,0.105,0.131,0.105,0.885,0.151,0.550,-,0.000,0.378,0.109,0.103,0.107,0.202,0.137,0.096,0.025
